                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3522,                0.94736,                0.91249,                 0.4278,                0.32883,                0.32363,                 0.1871,                  1.398,                 1.0141,                0.92565,               0.003862,               0.003862,               0.003862
                     64,                 1.3664,                0.95815,                0.91215,                0.42259,                0.33022,                0.32411,                0.18882,                 1.3944,                 1.0085,                0.92225,               0.003763,               0.003763,               0.003763
                     65,                 1.3538,                0.95466,                0.90941,                0.42883,                0.33109,                0.32791,                0.19032,                 1.3912,                 1.0058,                 0.9231,               0.003664,               0.003664,               0.003664
                     66,                 1.3478,                 0.9439,                0.90987,                0.43186,                0.33261,                0.32718,                 0.1893,                 1.3931,                 1.0032,                0.92317,               0.003565,               0.003565,               0.003565
                     67,                 1.3488,                 0.9455,                0.91026,                0.43366,                0.32369,                0.32306,                0.18765,                 1.3984,                  1.011,                0.92568,               0.003466,               0.003466,               0.003466
                     68,                 1.3552,                0.94741,                0.90791,                0.44278,                0.32829,                0.32792,                0.19061,                 1.3899,                  1.005,                0.92202,               0.003367,               0.003367,               0.003367
                     69,                 1.3352,                0.93571,                0.90745,                0.41811,                0.33707,                0.32916,                0.19175,                 1.3908,                 1.0012,                0.92434,               0.003268,               0.003268,               0.003268
                     70,                 1.3486,                0.93797,                0.90713,                0.42488,                0.33967,                0.32986,                0.19188,                 1.3956,                 1.0042,                0.92385,               0.003169,               0.003169,               0.003169
                     71,                 1.3433,                0.93055,                0.90834,                0.43841,                0.33791,                0.33214,                0.19314,                  1.392,                0.99813,                0.92382,                0.00307,                0.00307,                0.00307
                     72,                 1.3369,                0.93212,                0.90875,                 0.4297,                0.33499,                0.32839,                 0.1906,                 1.3908,                 1.0032,                0.92372,               0.002971,               0.002971,               0.002971
                     73,                 1.3377,                0.93185,                0.90629,                0.43667,                0.33577,                0.33226,                0.19297,                 1.3846,                0.99579,                0.92211,               0.002872,               0.002872,               0.002872
                     74,                 1.3458,                0.93144,                0.90804,                0.43499,                0.33296,                 0.3302,                0.19199,                 1.3876,                0.99671,                0.92391,               0.002773,               0.002773,               0.002773
                     75,                 1.3345,                0.92698,                0.90549,                0.43413,                0.33671,                 0.3326,                0.19291,                 1.3895,                0.99736,                0.92339,               0.002674,               0.002674,               0.002674
                     76,                 1.3353,                0.92407,                 0.9052,                  0.431,                0.33626,                0.33037,                0.19169,                 1.3886,                0.99796,                0.92349,               0.002575,               0.002575,               0.002575
                     77,                 1.3346,                0.92444,                0.90556,                 0.4367,                0.33583,                0.33324,                0.19355,                 1.3826,                0.99467,                0.92143,               0.002476,               0.002476,               0.002476
                     78,                 1.3269,                0.91757,                0.90303,                0.45307,                0.33406,                0.33427,                0.19389,                 1.3816,                0.99438,                0.92006,               0.002377,               0.002377,               0.002377
                     79,                  1.333,                0.91965,                0.90506,                 0.4394,                0.33753,                0.33493,                 0.1937,                 1.3818,                0.99125,                0.92062,               0.002278,               0.002278,               0.002278
                     80,                  1.332,                0.92045,                0.90246,                0.44482,                0.33516,                0.33383,                0.19345,                 1.3783,                0.98964,                0.91927,               0.002179,               0.002179,               0.002179
                     81,                 1.3221,                0.91163,                0.90355,                 0.4477,                0.33365,                0.33688,                0.19473,                 1.3845,                0.98976,                0.92109,                0.00208,                0.00208,                0.00208
                     82,                 1.3294,                0.91221,                0.90197,                0.44264,                0.33437,                0.33372,                0.19366,                 1.3825,                0.98982,                0.92072,               0.001981,               0.001981,               0.001981
                     83,                 1.3216,                0.90992,                0.90319,                0.43941,                0.33602,                0.33472,                0.19419,                 1.3827,                0.98788,                0.92095,               0.001882,               0.001882,               0.001882
                     84,                 1.3203,                 0.9097,                 0.9025,                0.44236,                0.33462,                0.33551,                0.19466,                 1.3842,                0.99024,                0.92119,               0.001783,               0.001783,               0.001783
                     85,                 1.3203,                0.90559,                0.90254,                0.43855,                0.33644,                0.33476,                0.19406,                 1.3802,                0.98862,                 0.9199,               0.001684,               0.001684,               0.001684
                     86,                 1.3171,                0.90237,                0.90236,                0.43449,                0.33773,                0.33229,                0.19301,                 1.3833,                0.99098,                0.92082,               0.001585,               0.001585,               0.001585
                     87,                 1.3084,                0.89901,                0.90022,                0.44647,                0.33224,                0.33258,                0.19329,                 1.3847,                 0.9898,                0.92128,               0.001486,               0.001486,               0.001486
                     88,                 1.3117,                0.89751,                0.90158,                0.44814,                0.33275,                0.33346,                0.19445,                 1.3816,                0.98827,                0.92047,               0.001387,               0.001387,               0.001387
                     89,                   1.32,                0.89964,                0.90268,                0.45071,                0.33084,                0.33506,                0.19595,                   1.38,                0.98535,                0.92111,               0.001288,               0.001288,               0.001288
                     90,                 1.3103,                0.89297,                0.90002,                0.45658,                0.32956,                0.33464,                0.19472,                 1.3797,                0.98768,                0.92096,               0.001189,               0.001189,               0.001189
                     91,                 1.2956,                0.88106,                0.90432,                0.43672,                0.33682,                0.33292,                 0.1933,                 1.3851,                0.99132,                0.92237,                0.00109,                0.00109,                0.00109
                     92,                 1.2763,                0.85857,                0.89943,                0.43512,                0.33296,                0.33135,                0.19257,                 1.3865,                0.99057,                0.92177,               0.000991,               0.000991,               0.000991
                     93,                 1.2775,                0.85865,                 0.8991,                0.44264,                0.32941,                0.33102,                 0.1917,                 1.3873,                0.99116,                0.92145,               0.000892,               0.000892,               0.000892
                     94,                 1.2724,                0.85439,                  0.899,                0.44445,                0.32848,                0.33152,                0.19253,                 1.3842,                0.99028,                0.92043,               0.000793,               0.000793,               0.000793
                     95,                 1.2657,                0.84724,                0.89795,                 0.4406,                0.33329,                0.33198,                0.19241,                 1.3824,                 0.9903,                0.91993,               0.000694,               0.000694,               0.000694
                     96,                 1.2693,                0.84848,                0.89766,                0.43848,                0.33415,                0.33311,                0.19312,                 1.3814,                0.98892,                0.92004,               0.000595,               0.000595,               0.000595
                     97,                 1.2601,                0.84008,                0.89622,                 0.4422,                0.33212,                0.33364,                0.19337,                 1.3811,                0.98842,                0.91994,               0.000496,               0.000496,               0.000496
                     98,                 1.2608,                0.83665,                0.89599,                  0.443,                0.33293,                0.33319,                0.19356,                 1.3812,                 0.9876,                0.92019,               0.000397,               0.000397,               0.000397
                     99,                 1.2546,                0.83351,                 0.8955,                0.44986,                0.32998,                 0.3328,                0.19339,                  1.382,                0.98771,                0.92032,               0.000298,               0.000298,               0.000298
                    100,                 1.2601,                0.83457,                0.89628,                 0.4436,                0.33328,                0.33381,                0.19375,                 1.3821,                0.98834,                0.92037,               0.000199,               0.000199,               0.000199
